Percentage exceedance,Run-off (-)
0.0547945205479452,22.192159749224672
0.1095890410958904,17.93051446912982
0.16438356164383564,13.188343129700854
0.2191780821917808,12.730549746220058
0.273972602739726,12.457770423715726
0.32876712328767127,12.31502665012175
0.3835616438356164,12.042792517571723
0.4383561643835616,11.766255681953723
0.4931506849315068,11.473291355150824
0.547945205479452,11.451352708560641
0.6027397260273972,11.398864779518957
0.6575342465753425,11.36840748504532
0.7123287671232876,10.871787514279674
0.7671232876712328,10.680280523582041
0.821917808219178,10.523148205986455
0.8767123287671232,10.500059999018184
0.9315068493150684,10.422830849209252
0.9863013698630136,10.28631417889984
1.0410958904109588,10.084609938186908
1.095890410958904,9.92161798620722
1.1506849315068493,9.883493018227956
1.2054794520547945,9.599242496476418
1.2602739726027399,9.465984015587557
1.315068493150685,9.393971231478105
1.36986301369863,9.337078829348282
1.4246575342465753,9.165540521191046
1.4794520547945205,9.161081825980261
1.5342465753424657,9.137372137740071
1.5890410958904109,9.123526796581158
1.643835616438356,9.120878089690834
1.6986301369863015,9.118170635776785
1.7534246575342465,9.102870596382594
1.808219178082192,9.097059569031373
1.8630136986301369,9.081995454841437
1.9178082191780823,8.970895129447365
1.9726027397260273,8.881081043330699
2.0273972602739727,8.873707777031932
2.0821917808219177,8.835749180083894
2.136986301369863,8.783102755668764
2.191780821917808,8.77538127582217
2.246575342465753,8.74311162511782
2.3013698630136985,8.739297768769047
2.356164383561644,8.652708863022406
2.410958904109589,8.564118904037402
2.4657534246575343,8.529019491929706
2.5205479452054798,8.32200643417259
2.5753424657534247,8.261793276185832
2.63013698630137,8.235352875131875
2.684931506849315,8.131437518841732
2.73972602739726,8.108083753464783
2.7945205479452055,8.036012793243238
2.8493150684931505,8.017706920543416
2.904109589041096,8.017085582172507
2.958904109589041,7.998037216626222
3.0136986301369864,7.936240316624661
3.0684931506849313,7.923581853240783
3.1232876712328768,7.827319629732357
3.1780821917808217,7.775269847151923
3.232876712328767,7.741545919120334
3.287671232876712,7.562126273699521
3.3424657534246576,7.555823197459492
3.397260273972603,7.522946110561553
3.4520547945205484,7.494096147243502
3.506849315068493,7.429121211679106
3.5616438356164384,7.40720032648891
3.616438356164384,7.3920060078855645
3.6712328767123292,7.389521684406931
3.7260273972602738,7.344271919870927
3.780821917808219,7.340316388332111
3.8356164383561646,7.312883616527873
3.890410958904109,7.2665728785355785
3.9452054794520546,7.261826331305518
4,7.143826431692488
4.054794520547945,7.075766044069382
4.10958904109589,7.050626505399313
4.164383561643835,6.945389298497265
4.219178082191781,6.861853263981655
4.273972602739726,6.785687287000454
4.328767123287671,6.716910403829405
4.383561643835616,6.673412933908177
4.438356164383562,6.63668117548168
4.493150684931506,6.625206971239232
4.547945205479452,6.6108818903123545
4.602739726027397,6.60509018825197
4.657534246575342,6.588563753141758
4.712328767123288,6.533790099193037
4.767123287671233,6.460173140078282
4.821917808219178,6.454405540071349
4.876712328767123,6.453166075679414
4.931506849315069,6.430616108681537
4.986301369863014,6.409667388512192
5.0410958904109595,6.335788045802764
5.095890410958904,6.299283920918149
5.1506849315068495,6.253268097732538
5.205479452054795,6.249720436080125
5.26027397260274,6.236107271034758
5.315068493150685,6.220672443399337
5.36986301369863,6.214933232512451
5.424657534246576,6.1683484889492215
5.47945205479452,6.1073070673331245
5.534246575342466,6.078655795636003
5.589041095890411,6.036279994829352
5.6438356164383565,6.032200225999883
5.698630136986301,6.0208810818823935
5.7534246575342465,5.986653627193242
5.808219178082192,5.9815037080647695
5.863013698630137,5.933536819977157
5.917808219178082,5.922157836887248
5.972602739726027,5.912636646550368
6.027397260273973,5.912522511365667
6.082191780821917,5.8944951836981865
6.136986301369863,5.884175763771769
6.191780821917808,5.852103708858237
6.2465753424657535,5.846783994485
6.301369863013699,5.835086241280362
6.3561643835616435,5.8203602103933365
6.410958904109589,5.7895639463000945
6.465753424657534,5.783187014929085
6.520547945205479,5.7761424359790645
6.575342465753424,5.74998940322695
6.63013698630137,5.723978661012214
6.684931506849315,5.719869501242027
6.739726027397261,5.710535562029
6.794520547945206,5.708939146962511
6.8493150684931505,5.706122261700541
6.904109589041097,5.693028733028339
6.958904109589041,5.671639924905072
7.013698630136986,5.662422075296662
7.068493150684932,5.605590188276231
7.123287671232877,5.551605036885458
7.178082191780821,5.5092436238053475
7.232876712328768,5.5084831843452235
7.287671232876712,5.494672445984758
7.3424657534246585,5.484721864795913
7.397260273972603,5.46875482892956
7.4520547945205475,5.462601048981117
7.506849315068494,5.460468117035894
7.561643835616438,5.433509788122071
7.616438356164383,5.433260271021218
7.671232876712329,5.421037374483475
7.726027397260274,5.4070902931539475
7.780821917808218,5.385123363583684
7.835616438356165,5.359497287028274
7.890410958904109,5.345691637538826
7.9452054794520555,5.321676103625454
8,5.2789320710453085
8.054794520547945,5.273632766352747
8.10958904109589,5.2535925773374
8.164383561643836,5.249088515676561
8.21917808219178,5.243867825403841
8.273972602739727,5.231242868229204
8.32876712328767,5.226840369644206
8.383561643835616,5.220897784637226
8.438356164383562,5.217692106976129
8.493150684931507,5.20717406258749
8.547945205479452,5.1580379622806
8.602739726027398,5.147850963402595
8.657534246575342,5.146859497728258
8.712328767123289,5.146358462147888
8.767123287671232,5.117234847315108
8.821917808219178,5.104182003042646
8.876712328767123,5.102938731330101
8.931506849315069,5.086861499013476
8.986301369863012,5.071395329766037
9.04109589041096,5.0614373612277515
9.095890410958903,5.047690484812305
9.150684931506849,5.023769415977122
9.205479452054794,4.982562821676036
9.26027397260274,4.969739676598579
9.315068493150685,4.930309236099063
